iterations,EU th,EU th time,EU,EU time,Barrier th,Barrier th time,Barrier,Barrier time,Lookback th,Lookback th time,Lookback,Lookback time
1,18.023,0,69.2845,0,15.1816,0,15.2031,0.06,37.7605,0.06,37.6833,0.121
1,18.023,0,0,0,15.1816,0,15.1872,0.06,37.7605,0.06,37.6795,0.116
1,18.023,0,0,0,15.1816,0,15.1373,0.063,37.7605,0.063,37.7314,0.123
1,18.023,0,80.5971,0,15.1816,0,15.1872,0.06,37.7605,0.06,37.9012,0.13
1,18.023,0,19.7254,0,15.1816,0,15.2158,0.06,37.7605,0.06,37.785,0.12
1,18.023,0,0,0,15.1816,0,15.2253,0.06,37.7605,0.06,37.7294,0.13
1,18.023,0,0,0,15.1816,0,15.0916,0.06,37.7605,0.06,37.6879,0.12
1,18.023,0,0,0,15.1816,0,15.0792,0.07,37.7605,0.07,37.7626,0.13
1,18.023,0,16.0493,0,15.1816,0,15.361,0.07,37.7605,0.07,37.7933,0.14
1,18.023,0,66.9362,0,15.1816,0,15.1261,0.051,37.7605,0.051,37.7906,0.124
1,18.023,0,0,0,15.1816,0,15.1066,0.081,37.7605,0.081,37.8015,0.151
1,18.023,0,191.814,0,15.1816,0,15.3574,0.07,37.7605,0.07,37.7774,0.13
1,18.023,0,33.0096,0,15.1816,0,15.0779,0.06,37.7605,0.06,37.6731,0.13
1,18.023,0,21.3028,0,15.1816,0,15.3129,0.06,37.7605,0.06,37.83,0.12
1,18.023,0,24.2022,0,15.1816,0,14.8805,0.06,37.7605,0.06,37.8239,0.13
1,18.023,0,0,0,15.1816,0,15.2945,0.06,37.7605,0.06,37.8145,0.115
1,18.023,0,0,0,15.1816,0,15.0317,0.08,37.7605,0.08,37.813,0.14
1,18.023,0,0,0,15.1816,0,15.1655,0.06,37.7605,0.06,37.5966,0.12
1,18.023,0,109.375,0,15.1816,0,14.9842,0.044,37.7605,0.044,37.6087,0.117
1,18.023,0,0,0,15.1816,0,15.1836,0.06,37.7605,0.06,37.8014,0.12
1,18.023,0,26.434,0,15.1816,0,15.318,0.06,37.7605,0.06,37.7364,0.13
